user_id,route_id,distance_km_user,elevation_meters_user,surface_type_user,average_pace_min_per_km,rating,start_date,distance_km_route,elevation_meters_route,surface_type_route,difficulty_score,grade_percent,grade_flat,grade_rolling,grade_hilly,grade_steep,is_likely_loop,is_likely_out_back,traffic_stress,geo_cluster,hour_of_day,is_morning,is_afternoon,is_evening,is_night,day_of_week,is_weekend,is_weekday
ywolf,R034,15.13,0,Road,5.06,3,2024-10-13 12:52:33.904317,15.13,0,Road,2.49,0.0,1,0,0,0,1,0,0.01859888406695598,0,12,0,1,0,0,6,1,0
treynolds,R008,17.81,106,Trail,4.64,1,2024-10-13 18:25:57.819789,17.81,106,Trail,4.62,0.5951712521052245,1,0,0,0,1,0,0.015948963317384372,2,18,0,0,1,0,6,1,0
jenniferlarsen,R049,1.0,124,Road,4.26,1,2024-10-13 18:49:57.266947,1.0,124,Road,1.37,12.399999999876,0,0,0,1,0,1,0.15,0,18,0,0,1,0,6,1,0
smithderek,R025,26.19,249,Road,5.18,1,2024-10-14 09:51:28.595296,26.19,249,Road,7.73,0.9507445589916187,1,0,0,0,1,0,0.011033468186833394,9,9,1,0,0,0,0,0,1
alison99,R023,1.0,113,Trail,4.76,1,2024-10-14 10:46:44.016528,1.0,113,Trail,1.24,11.299999999887,0,0,0,1,0,1,0.15,0,10,1,0,0,0,0,0,1
jmendoza,R098,11.19,137,Trail,3.6,4,2024-10-14 12:27:30.549657,11.19,137,Trail,3.6,1.2243074173358137,1,0,0,0,1,0,0.02461033634126333,2,12,0,1,0,0,0,0,1
ellen57,R002,15.43,218,Road,5.0,1,2024-10-15 03:41:40.299737,15.43,218,Road,5.27,1.4128321451708277,1,0,0,0,1,0,0.01825928180158247,5,3,0,0,0,1,1,0,1
davisheather,R053,8.94,128,Road,3.14,1,2024-10-15 06:53:26.872005,8.94,128,Road,3.07,1.4317673378060047,1,0,0,0,1,0,0.030181086519114688,1,6,1,0,0,0,1,0,1
davisheather,R096,17.2,62,Mixed,4.73,4,2024-10-15 12:12:43.175955,17.2,62,Mixed,4.06,0.3604651162788602,1,0,0,0,1,0,0.016483516483516484,1,12,0,1,0,0,1,0,1
mcdanielstephanie,R046,5.37,206,Road,4.93,1,2024-10-15 16:32:41.116452,5.37,206,Road,3.13,3.8361266294155754,0,1,0,0,0,1,0.04709576138147566,1,16,0,1,0,0,1,0,1
mark36,R007,15.62,82,Road,4.4,1,2024-10-15 17:15:48.342736,15.62,82,Road,3.94,0.524967989756386,1,0,0,0,1,0,0.01805054151624549,1,17,0,0,1,0,1,0,1
vthompson,R067,12.97,93,Trail,4.34,5,2024-10-15 18:19:25.107862,12.97,93,Trail,3.52,0.7170393215106268,1,0,0,0,1,0,0.02147458840372226,1,18,0,0,1,0,1,0,1
brittany25,R037,3.91,192,Mixed,4.7,1,2024-10-15 19:26:53.605483,3.91,192,Mixed,2.7,4.910485933491278,0,1,0,0,0,1,0.06109979633401221,1,19,0,0,1,0,1,0,1
william19,R093,15.33,97,Trail,4.01,1,2024-10-15 22:46:46.194854,15.33,97,Trail,4.04,0.6327462491841925,1,0,0,0,1,0,0.01837109614206981,2,22,0,0,0,1,1,0,1
chernandez,R066,13.16,141,Road,5.32,2,2024-10-16 00:29:51.993761,13.16,141,Road,4.05,1.0714285714277572,1,0,0,0,1,0,0.0211864406779661,2,0,0,0,0,1,2,0,1
brenda53,R080,16.29,44,Road,4.91,1,2024-10-17 20:53:09.285363,16.29,44,Road,3.7,0.2701043585019827,1,0,0,0,1,0,0.01735106998264893,1,20,0,0,1,0,3,0,1
jmendoza,R072,7.57,0,Road,4.87,1,2024-10-18 06:17:32.328457,7.57,0,Road,1.12,0.0,1,0,0,0,0,1,0.03500583430571762,0,6,1,0,0,0,4,0,1
rodriguezallison,R028,19.33,205,Track,5.48,1,2024-10-18 06:40:37.577289,19.33,205,Track,5.92,1.060527677185173,1,0,0,0,1,0,0.014756517461878997,6,6,1,0,0,0,4,0,1
pleon,R067,12.97,93,Trail,4.86,1,2024-10-18 09:28:53.018466,12.97,93,Trail,3.52,0.7170393215106268,1,0,0,0,1,0,0.02147458840372226,1,9,1,0,0,0,4,0,1
taylordavid,R077,8.23,0,Trail,4.46,1,2024-10-19 01:26:34.534148,8.23,0,Trail,1.36,0.0,1,0,0,0,1,0,0.032502708559046585,0,1,0,0,0,1,5,1,0
adamseric,R072,7.57,0,Road,3.78,4,2024-10-19 09:13:25.098214,7.57,0,Road,1.12,0.0,1,0,0,0,0,1,0.03500583430571762,0,9,1,0,0,0,5,1,0
mcdanielstephanie,R047,11.92,133,Trail,3.92,3,2024-10-19 09:40:51.972753,11.92,133,Trail,3.71,1.1157718120796007,1,0,0,0,1,0,0.02321981424148607,2,9,1,0,0,0,5,1,0
tamarabaker,R022,15.08,98,Road,3.98,3,2024-10-19 17:30:40.116034,15.08,98,Road,4.0,0.6498673740048742,1,0,0,0,1,0,0.01865671641791045,2,17,0,0,1,0,5,1,0
taylordavid,R012,13.62,121,Road,4.06,5,2024-10-19 20:19:08.430343,13.62,121,Road,3.94,0.8883994126278352,1,0,0,0,1,0,0.02051983584131327,2,20,0,0,1,0,5,1,0
davisheather,R009,11.05,87,Trail,3.77,1,2024-10-20 00:11:18.986577,11.05,87,Trail,3.08,0.7873303167413689,1,0,0,0,1,0,0.024896265560165973,1,0,0,0,0,1,6,1,0
tamarabaker,R005,2.05,214,Trail,4.92,1,2024-10-20 00:25:47.445584,2.05,214,Trail,2.55,10.43902439019298,0,0,0,1,0,1,0.09836065573770493,0,0,0,0,0,1,6,1,0
velezjames,R008,17.81,106,Trail,4.04,1,2024-10-20 07:59:18.413484,17.81,106,Trail,4.62,0.5951712521052245,1,0,0,0,1,0,0.015948963317384372,2,7,1,0,0,0,6,1,0
pedro57,R083,18.99,0,Road,4.73,1,2024-10-20 08:04:52.990217,18.99,0,Road,3.48,0.0,1,0,0,0,1,0,0.015007503751875938,0,8,1,0,0,0,6,1,0
tina57,R058,14.42,38,Trail,4.06,1,2024-10-20 11:41:54.988251,14.42,38,Trail,3.26,0.26352288488192543,1,0,0,0,1,0,0.019455252918287938,0,11,1,0,0,0,6,1,0
pedro57,R023,1.0,113,Trail,5.14,1,2024-10-20 12:28:24.769003,1.0,113,Trail,1.24,11.299999999887,0,0,0,1,0,1,0.15,0,12,0,1,0,0,6,1,0
jenkinsdanielle,R006,5.49,88,Trail,4.97,1,2024-10-20 16:20:00.210057,5.49,88,Trail,1.98,1.6029143897967162,1,0,0,0,0,1,0.046224961479198766,0,16,0,1,0,0,6,1,0
morgan42,R002,15.43,218,Road,5.9,1,2024-10-20 17:33:20.201664,15.43,218,Road,5.27,1.4128321451708277,1,0,0,0,1,0,0.01825928180158247,5,17,0,0,1,0,6,1,0
jmendoza,R093,15.33,97,Trail,3.85,2,2024-10-20 22:52:14.033825,15.33,97,Trail,4.04,0.6327462491841925,1,0,0,0,1,0,0.01837109614206981,2,22,0,0,0,1,6,1,0
jorge98,R061,3.86,0,Road,5.31,1,2024-10-21 00:00:30.319454,3.86,0,Road,0.29,0.0,1,0,0,0,0,1,0.061728395061728406,0,0,0,0,0,1,0,0,1
margaretsmith,R054,11.77,0,Road,4.06,3,2024-10-21 05:10:13.398595,11.77,0,Road,2.24,0.0,1,0,0,0,1,0,0.023492560689115115,0,5,1,0,0,0,0,0,1
beth11,R010,21.86,0,Road,4.63,2,2024-10-21 09:37:49.911011,21.86,0,Road,4.33,0.0,1,0,0,0,1,0,0.013123359580052495,0,9,1,0,0,0,0,0,1
sabrina71,R036,11.21,161,Road,5.06,1,2024-10-21 09:50:06.767834,11.21,161,Road,3.85,1.4362176627997891,1,0,0,0,1,0,0.02457002457002457,2,9,1,0,0,0,0,0,1
zunigaheidi,R027,6.8,93,Mixed,4.26,1,2024-10-21 11:23:46.271348,6.8,93,Mixed,2.29,1.3676470588215182,1,0,0,0,0,1,0.038461538461538464,0,11,1,0,0,0,0,0,1
beth11,R012,13.62,121,Road,4.83,2,2024-10-21 12:34:41.902213,13.62,121,Road,3.94,0.8883994126278352,1,0,0,0,1,0,0.02051983584131327,2,12,0,1,0,0,0,0,1
nathan74,R086,11.81,168,Road,4.31,1,2024-10-21 15:48:49.184186,11.81,168,Road,4.04,1.4225232853501923,1,0,0,0,1,0,0.0234192037470726,3,15,0,1,0,0,0,0,1
nathan74,R023,1.0,113,Trail,3.98,1,2024-10-21 18:00:57.298045,1.0,113,Trail,1.24,11.299999999887,0,0,0,1,0,1,0.15,0,18,0,0,1,0,0,0,1
danalopez,R010,21.86,0,Road,5.23,1,2024-10-21 23:14:54.708885,21.86,0,Road,4.33,0.0,1,0,0,0,1,0,0.013123359580052495,0,23,0,0,0,1,0,0,1
ewhitehead,R033,16.5,93,Trail,4.86,2,2024-10-22 07:17:40.868608,16.5,93,Trail,4.23,0.563636363636022,1,0,0,0,1,0,0.01714285714285714,2,7,1,0,0,0,1,0,1
danalopez,R091,9.73,23,Mixed,3.86,3,2024-10-22 11:32:14.404956,9.73,23,Mixed,2.18,0.236382322713015,1,0,0,0,1,0,0.027958993476234855,0,11,1,0,0,0,1,0,1
ywolf,R089,22.45,266,Trail,4.94,1,2024-10-22 12:26:21.661641,22.45,266,Trail,7.15,1.1848552338524787,1,0,0,0,1,0,0.01279317697228145,9,12,0,1,0,0,1,0,1
donaldlee,R052,7.86,294,Mixed,5.13,1,2024-10-22 17:06:12.158092,7.86,294,Mixed,4.52,3.740458015262417,0,1,0,0,0,1,0.033860045146726865,3,17,0,0,1,0,1,0,1
treynolds,R025,26.19,249,Road,4.75,1,2024-10-22 17:16:56.995233,26.19,249,Road,7.73,0.9507445589916187,1,0,0,0,1,0,0.011033468186833394,9,17,0,0,1,0,1,0,1
mark36,R037,3.91,192,Mixed,4.42,3,2024-10-22 20:15:43.392879,3.91,192,Mixed,2.7,4.910485933491278,0,1,0,0,0,1,0.06109979633401221,1,20,0,0,1,0,1,0,1
ywolf,R098,11.19,137,Trail,5.2,1,2024-10-22 21:40:20.657640,11.19,137,Trail,3.6,1.2243074173358137,1,0,0,0,1,0,0.02461033634126333,2,21,0,0,1,0,1,0,1
rodriguezallison,R079,11.29,250,Road,4.97,5,2024-10-22 21:41:47.326091,11.29,250,Road,4.75,2.214348981397507,0,1,0,0,1,0,0.024410089503661515,4,21,0,0,1,0,1,0,1
donaldlee,R007,15.62,82,Road,5.03,5,2024-10-23 04:52:33.993820,15.62,82,Road,3.94,0.524967989756386,1,0,0,0,1,0,0.01805054151624549,1,4,0,0,0,1,2,0,1
shermananne,R041,6.93,142,Road,4.0,1,2024-10-23 10:13:30.749505,6.93,142,Road,2.8,2.0490620490590925,0,1,0,0,0,1,0.03783102143757881,1,10,1,0,0,0,2,0,1
alison99,R063,10.82,199,Trail,4.09,5,2024-10-23 11:11:39.924781,10.82,199,Trail,4.15,1.8391866913106847,1,0,0,0,1,0,0.025380710659898477,3,11,1,0,0,0,2,0,1
ywolf,R020,15.14,113,Road,4.75,3,2024-10-23 20:18:58.524004,15.14,113,Road,4.16,0.7463672391012243,1,0,0,0,1,0,0.018587360594795536,2,20,0,0,1,0,2,0,1
vthompson,R082,11.49,0,Trail,4.46,4,2024-10-23 23:08:12.897448,11.49,0,Trail,1.49,0.0,1,0,0,0,1,0,0.02401921537229784,0,23,0,0,0,1,2,0,1
mark36,R010,21.86,0,Road,4.21,1,2024-10-24 16:36:54.237952,21.86,0,Road,4.33,0.0,1,0,0,0,1,0,0.013123359580052495,0,16,0,1,0,0,3,0,1
ywolf,R026,13.37,178,Track,5.21,2,2024-10-24 19:32:18.037444,13.37,178,Track,4.45,1.331338818248817,1,0,0,0,1,0,0.020876826722338204,3,19,0,0,1,0,3,0,1
donaldlee,R059,11.53,18,Trail,4.51,1,2024-10-25 06:50:25.091089,11.53,18,Trail,2.49,0.15611448395476485,1,0,0,0,1,0,0.023942537909018357,0,6,1,0,0,0,4,0,1
brittany25,R100,7.02,0,Trail,4.95,1,2024-10-25 08:04:36.641037,7.02,0,Trail,0.84,0.0,1,0,0,0,0,1,0.03740648379052369,0,8,1,0,0,0,4,0,1
margaretsmith,R028,19.33,205,Track,5.38,1,2024-10-25 09:07:34.563198,19.33,205,Track,5.92,1.060527677185173,1,0,0,0,1,0,0.014756517461878997,6,9,1,0,0,0,4,0,1
debrasimmons,R097,14.16,0,Trail,4.87,3,2024-10-25 09:22:16.782345,14.16,0,Trail,2.74,0.0,1,0,0,0,1,0,0.019788918205804747,0,9,1,0,0,0,4,0,1
brittany42,R072,7.57,0,Road,4.44,4,2024-10-26 03:11:34.617891,7.57,0,Road,1.12,0.0,1,0,0,0,0,1,0.03500583430571762,0,3,0,0,0,1,5,1,0
alison99,R003,13.8,216,Road,4.75,3,2024-10-26 15:37:02.384416,13.8,216,Road,4.92,1.5652173913032135,1,0,0,0,1,0,0.020270270270270268,4,15,0,1,0,0,5,1,0
adamseric,R071,1.0,79,Trail,4.96,1,2024-10-26 15:46:18.071215,1.0,79,Trail,0.7,7.8999999999209995,0,0,1,0,0,1,0.15,0,15,0,1,0,0,5,1,0
pedro57,R026,13.37,178,Track,4.06,1,2024-10-26 19:10:43.014041,13.37,178,Track,4.45,1.331338818248817,1,0,0,0,1,0,0.020876826722338204,3,19,0,0,1,0,5,1,0
smithderek,R081,6.69,121,Road,4.45,5,2024-10-27 04:46:40.230669,6.69,121,Road,2.55,1.808669656200585,1,0,0,0,0,1,0.03901170351105331,1,4,0,0,0,1,6,1,0
pamelacollins,R028,19.33,205,Track,6.0,1,2024-10-27 05:57:07.237744,19.33,205,Track,5.92,1.060527677185173,1,0,0,0,1,0,0.014756517461878997,6,5,1,0,0,0,6,1,0
zunigaheidi,R009,11.05,87,Trail,5.06,5,2024-10-27 09:48:21.868787,11.05,87,Trail,3.08,0.7873303167413689,1,0,0,0,1,0,0.024896265560165973,1,9,1,0,0,0,6,1,0
mcdanielstephanie,R083,18.99,0,Road,4.73,1,2024-10-27 14:58:03.311694,18.99,0,Road,3.48,0.0,1,0,0,0,1,0,0.015007503751875938,0,14,0,1,0,0,6,1,0
chernandez,R048,1.36,14,Trail,5.41,1,2024-10-27 20:41:40.883737,1.36,14,Trail,0.41,1.0294117646983132,1,0,0,0,0,1,0.12711864406779658,0,20,0,0,1,0,6,1,0
margaretsmith,R074,11.06,224,Road,4.01,2,2024-10-28 13:24:11.597716,11.06,224,Road,4.45,2.0253164556943712,0,1,0,0,1,0,0.02487562189054726,3,13,0,1,0,0,0,0,1
nathan74,R079,11.29,250,Road,5.58,1,2024-10-28 16:37:55.944993,11.29,250,Road,4.75,2.214348981397507,0,1,0,0,1,0,0.024410089503661515,4,16,0,1,0,0,0,0,1
jorge98,R089,22.45,266,Trail,5.25,1,2024-10-28 17:24:07.447491,22.45,266,Trail,7.15,1.1848552338524787,1,0,0,0,1,0,0.01279317697228145,9,17,0,0,1,0,0,0,1
mark36,R048,1.36,14,Trail,5.33,1,2024-10-28 22:05:53.651042,1.36,14,Trail,0.41,1.0294117646983132,1,0,0,0,0,1,0.12711864406779658,0,22,0,0,0,1,0,0,1
william19,R077,8.23,0,Trail,4.8,3,2024-10-29 05:45:39.677714,8.23,0,Trail,1.36,0.0,1,0,0,0,1,0,0.032502708559046585,0,5,1,0,0,0,1,0,1
jenkinsdanielle,R029,10.6,0,Road,4.26,1,2024-10-29 06:51:31.973015,10.6,0,Road,1.88,0.0,1,0,0,0,1,0,0.02586206896551724,0,6,1,0,0,0,1,0,1
sabrina71,R074,11.06,224,Road,4.6,1,2024-10-29 11:10:32.522830,11.06,224,Road,4.45,2.0253164556943712,0,1,0,0,1,0,0.02487562189054726,3,11,1,0,0,0,1,0,1
hermandavid,R070,11.34,109,Trail,4.52,3,2024-10-29 21:32:50.050709,11.34,109,Trail,3.36,0.9611992945317801,1,0,0,0,1,0,0.024311183144246355,1,21,0,0,1,0,1,0,1
festrada,R091,9.73,23,Mixed,4.03,4,2024-10-30 17:26:12.950470,9.73,23,Mixed,2.18,0.236382322713015,1,0,0,0,1,0,0.027958993476234855,0,17,0,0,1,0,2,0,1
nathan74,R045,5.3,84,Trail,4.31,1,2024-10-31 02:59:45.323713,5.3,84,Trail,1.9,1.584905660374368,1,0,0,0,0,1,0.047619047619047616,0,2,0,0,0,1,3,0,1
michael74,R003,13.8,216,Road,4.95,5,2024-10-31 05:02:11.000205,13.8,216,Road,4.92,1.5652173913032135,1,0,0,0,1,0,0.020270270270270268,4,5,1,0,0,0,3,0,1
evelyn74,R014,29.98,72,Trail,4.21,1,2024-10-31 13:45:46.226481,29.98,72,Trail,6.72,0.2401601067377451,1,0,0,0,1,0,0.009683666881859265,3,13,0,1,0,0,3,0,1
william19,R014,29.98,72,Trail,4.86,1,2024-10-31 16:26:05.117878,29.98,72,Trail,6.72,0.2401601067377451,1,0,0,0,1,0,0.009683666881859265,3,16,0,1,0,0,3,0,1
festrada,R084,7.5,175,Trail,4.83,2,2024-11-01 06:12:07.366935,7.5,175,Trail,3.25,2.333333333330222,0,1,0,0,0,1,0.03529411764705882,2,6,1,0,0,0,4,0,1
danalopez,R082,11.49,0,Trail,5.13,1,2024-11-01 08:00:01.623370,11.49,0,Trail,1.49,0.0,1,0,0,0,1,0,0.02401921537229784,0,8,1,0,0,0,4,0,1
zunigaheidi,R097,14.16,0,Trail,3.93,3,2024-11-01 13:01:22.731201,14.16,0,Trail,2.74,0.0,1,0,0,0,1,0,0.019788918205804747,0,13,0,1,0,0,4,0,1
tamarabaker,R025,26.19,249,Road,5.34,1,2024-11-01 15:10:49.894643,26.19,249,Road,7.73,0.9507445589916187,1,0,0,0,1,0,0.011033468186833394,9,15,0,1,0,0,4,0,1
danalopez,R046,5.37,206,Road,5.91,4,2024-11-01 17:53:27.066924,5.37,206,Road,3.13,3.8361266294155754,0,1,0,0,0,1,0.04709576138147566,1,17,0,0,1,0,4,0,1
angela41,R026,13.37,178,Track,4.61,1,2024-11-02 00:07:29.073025,13.37,178,Track,4.45,1.331338818248817,1,0,0,0,1,0,0.020876826722338204,3,0,0,0,0,1,5,1,0
sara71,R092,18.44,148,Road,4.74,2,2024-11-02 04:24:52.155979,18.44,148,Road,5.16,0.8026030368759205,1,0,0,0,1,0,0.015432098765432096,4,4,0,0,0,1,5,1,0
mark36,R002,15.43,218,Road,5.87,1,2024-11-02 19:01:41.148999,15.43,218,Road,5.27,1.4128321451708277,1,0,0,0,1,0,0.01825928180158247,5,19,0,0,1,0,5,1,0
velezjames,R095,15.12,182,Road,4.52,1,2024-11-02 20:27:40.330330,15.12,182,Road,4.84,1.2037037037029075,1,0,0,0,1,0,0.01861042183622829,4,20,0,0,1,0,5,1,0
donaldlee,R065,11.51,120,Trail,3.91,1,2024-11-02 21:35:37.604210,11.51,120,Trail,3.51,1.0425716768018745,1,0,0,0,1,0,0.023980815347721823,2,21,0,0,1,0,5,1,0
nmay,R028,19.33,205,Track,4.15,2,2024-11-03 03:18:54.985543,19.33,205,Track,5.92,1.060527677185173,1,0,0,0,1,0,0.014756517461878997,6,3,0,0,0,1,6,1,0
debrasimmons,R070,11.34,109,Trail,5.24,1,2024-11-03 17:03:45.365437,11.34,109,Trail,3.36,0.9611992945317801,1,0,0,0,1,0,0.024311183144246355,1,17,0,0,1,0,6,1,0
treynolds,R098,11.19,137,Trail,5.27,4,2024-11-03 19:14:18.936673,11.19,137,Trail,3.6,1.2243074173358137,1,0,0,0,1,0,0.02461033634126333,2,19,0,0,1,0,6,1,0
pvargas,R058,14.42,38,Trail,4.07,2,2024-11-03 20:38:17.924795,14.42,38,Trail,3.26,0.26352288488192543,1,0,0,0,1,0,0.019455252918287938,0,20,0,0,1,0,6,1,0
mark36,R054,11.77,0,Road,5.43,1,2024-11-03 20:56:22.085751,11.77,0,Road,2.24,0.0,1,0,0,0,1,0,0.023492560689115115,0,20,0,0,1,0,6,1,0
